deputado_id,nome,idLegislaturaInicial,idLegislaturaFinal,siglaSexo,betweenness_centrality,eigenvecto_centrality,Frentes
178946,Soraya Santos,55,56,F,0.0,3.9074932244178144e-11,39
178947,Sostenes Cavalcante,55,56,M,0.0,3.9074932244178144e-11,231
178948,Beto Rosado,55,56,M,0.0,3.9074932244178144e-11,222
178951,Rafael Motta,55,56,M,0.0,3.9074932244178144e-11,170
178952,Walter Alves,55,56,M,0.0,3.9074932244178144e-11,166
178953,Expedito Netto,55,56,M,0.0,3.9074932244178144e-11,237
178954,Lucio Mosquini,55,56,M,0.0,3.9074932244178144e-11,193
178956,Mariana Carvalho,55,56,F,0.0,3.9074932244178144e-11,160
178959,Hiran Goncalves,55,56,M,2.956933409496114e-05,9.76873306104454e-10,79
178961,Sheridan,55,56,F,0.0,3.9074932244178144e-11,52
178962,Carlos Gomes,55,56,M,0.0,3.9074932244178144e-11,159
178964,Heitor Schuch,55,56,M,0.0,3.9074932244178144e-11,223
178966,Geovania de Sa,55,56,F,0.0,3.9074932244178144e-11,140
178969,Fabio Mitidieri,55,56,M,0.0,3.9074932244178144e-11,149
178970,Joao Daniel,55,56,M,0.0,3.9074932244178144e-11,165
178972,Alex Manente,55,56,M,0.0,3.9074932244178144e-11,124
178975,Baleia Rossi,55,56,M,0.0,3.9074932244178144e-11,61
178977,Eduardo Cury,55,56,M,0.0,3.9074932244178144e-11,35
178981,Herculano Passos,55,56,M,0.0010391189505883664,0.08532213558880722,160
178983,Marcio Alvino,55,56,M,0.0,3.9074932244178144e-11,96
178984,Miguel Haddad,55,56,M,0.0,3.9074932244178144e-11,121
178985,Miguel Lombardi,55,56,M,0.0,3.9074932244178144e-11,137
178986,Nilto Tatto,55,56,M,0.0,3.9074932244178144e-11,174
178987,Orlando Silva,55,56,M,0.0,3.9074932244178144e-11,208
178989,Renata Abreu,55,56,F,0.0,3.9074932244178144e-11,99
178990,Samuel Moreira,55,56,M,0.0006475212167782424,0.05187864596644906,35
178992,Vitor Lippi,55,56,M,0.0,3.9074932244178144e-11,99
178993,Carlos Henrique Gaguim,55,56,M,0.0,3.9074932244178144e-11,236
178994,Dulce Miranda,55,56,F,0.0,3.9074932244178144e-11,48
178996,Giovani Feltes,55,56,M,0.0,3.9074932244178144e-11,3
178997,Moses Rodrigues,55,56,M,0.0,3.9074932244178144e-11,190
179000,Marcelo Alvaro Antonio,55,56,M,0.0,3.9074932244178144e-11,218
179001,Marcio Biolchi,55,56,M,0.0,3.9074932244178144e-11,7
188097,Merlong Solano,55,56,M,0.0,3.9074932244178144e-11,11
191923,Flavio Nogueira,55,56,M,0.0,3.9074932244178144e-11,1
193726,Paulo Eduardo Martins,55,56,M,0.0,3.9074932244178144e-11,7
194260,Nivaldo Albuquerque,55,56,M,0.0,3.9074932244178144e-11,21
195866,Vaidon Oliveira,55,56,M,0.0,3.9074932244178144e-11,30
196358,Lourival Gomes,55,56,M,0.0,3.9074932244178144e-11,0
